loan_amnt,int_rate,grade,emp_length,annual_inc,loan_status,purpose
3600.0,13.99,C,10+ years,55000.0,Fully Paid,debt_consolidation
24700.0,11.99,C,10+ years,65000.0,Fully Paid,small_business
20000.0,10.78,B,10+ years,63000.0,Fully Paid,home_improvement
35000.0,14.85,C,10+ years,110000.0,Current,debt_consolidation
10400.0,22.45,F,3 years,104433.0,Fully Paid,major_purchase
11950.0,13.44,C,4 years,34000.0,Fully Paid,debt_consolidation
20000.0,9.17,B,10+ years,180000.0,Fully Paid,debt_consolidation
20000.0,8.49,B,10+ years,85000.0,Fully Paid,major_purchase
10000.0,6.49,A,6 years,85000.0,Fully Paid,credit_card
8000.0,11.48,B,10+ years,42000.0,Fully Paid,credit_card
22400.0,12.88,C,6 years,95000.0,Current,debt_consolidation
16000.0,12.88,C,1 year,70000.0,Current,debt_consolidation
1400.0,12.88,C,3 years,64000.0,Fully Paid,other
18000.0,19.48,E,7 years,150000.0,Charged Off,debt_consolidation
28000.0,6.49,A,10+ years,92000.0,Fully Paid,debt_consolidation
9600.0,7.49,A,8 years,60000.0,Fully Paid,credit_card
25000.0,7.49,A,10+ years,109000.0,Fully Paid,debt_consolidation
18000.0,11.99,C,10+ years,112000.0,Fully Paid,debt_consolidation
23000.0,8.49,B,5 years,64000.0,Current,credit_card
8650.0,19.89,E,8 years,55000.0,Fully Paid,debt_consolidation
29900.0,12.88,C,10+ years,65000.0,Fully Paid,debt_consolidation
16000.0,14.85,C,10+ years,48000.0,Fully Paid,credit_card
28000.0,13.44,C,2 years,125000.0,Fully Paid,debt_consolidation
5000.0,13.44,C,2 years,79000.0,Fully Paid,credit_card
6000.0,7.49,A,10+ years,100000.0,Fully Paid,debt_consolidation
4225.0,14.85,C,5 years,35000.0,Charged Off,debt_consolidation
20000.0,5.32,A,9 years,65000.0,Fully Paid,debt_consolidation
16000.0,17.97,D,< 1 year,109000.0,Fully Paid,debt_consolidation
17600.0,5.32,A,< 1 year,88000.0,Fully Paid,credit_card
15000.0,5.32,A,10+ years,44000.0,Fully Paid,home_improvement
16000.0,12.88,C,10+ years,65000.0,Charged Off,small_business
24250.0,24.24,F,4 years,75000.0,Charged Off,debt_consolidation
12000.0,10.78,B,1 year,98000.0,Fully Paid,debt_consolidation
25000.0,13.99,C,9 years,79000.0,Charged Off,debt_consolidation
16800.0,12.88,C,10+ years,118000.0,Current,debt_consolidation
7000.0,7.49,A,10+ years,59000.0,Fully Paid,credit_card
21000.0,13.99,C,< 1 year,52000.0,Fully Paid,credit_card
27500.0,14.85,C,10+ years,195000.0,Fully Paid,other
7200.0,11.48,B,10+ years,72500.0,Fully Paid,home_improvement
20000.0,14.85,C,6 years,110000.0,Fully Paid,credit_card
20000.0,15.77,D,5 years,70000.0,Fully Paid,house
10000.0,17.97,D,2 years,55000.0,Charged Off,credit_card
16000.0,13.99,C,9 years,142000.0,Current,debt_consolidation
20000.0,9.8,B,5 years,75000.0,Fully Paid,debt_consolidation
8650.0,5.32,A,< 1 year,100000.0,Fully Paid,credit_card
21000.0,13.44,C,2 years,54649.0,Fully Paid,debt_consolidation
7200.0,15.77,D,< 1 year,55000.0,Fully Paid,debt_consolidation
8800.0,9.8,B,10+ years,92000.0,Fully Paid,credit_card
14650.0,20.5,E,2 years,43160.0,Current,debt_consolidation
2500.0,17.27,D,10+ years,50000.0,Fully Paid,other
11000.0,9.17,B,10+ years,69000.0,Fully Paid,credit_card
23850.0,17.27,D,10+ years,68046.0,Current,debt_consolidation
15700.0,16.59,D,6 years,48000.0,Current,credit_card
28800.0,11.99,C,10+ years,60000.0,Current,debt_consolidation
10000.0,12.88,C,4 years,91392.0,Fully Paid,house
24000.0,9.8,B,,77900.0,Current,home_improvement
28000.0,18.49,D,10+ years,75000.0,Fully Paid,debt_consolidation
35000.0,11.99,C,10+ years,128000.0,Fully Paid,home_improvement
7200.0,9.17,B,10+ years,50000.0,Fully Paid,debt_consolidation
10000.0,7.91,A,2 years,40100.0,Fully Paid,credit_card
16000.0,13.44,C,1 year,42000.0,Charged Off,credit_card
21875.0,11.99,C,< 1 year,47590.0,Fully Paid,credit_card
14025.0,18.49,D,10+ years,39000.0,Fully Paid,debt_consolidation
35000.0,12.88,C,7 years,106000.0,Charged Off,debt_consolidation
20000.0,12.88,C,10+ years,145000.0,Fully Paid,debt_consolidation
14000.0,14.85,C,2 years,60000.0,Charged Off,debt_consolidation
16000.0,8.49,B,5 years,62000.0,In Grace Period,credit_card
28000.0,14.85,C,2 years,85000.0,Current,debt_consolidation
20000.0,13.99,C,10+ years,70000.0,Charged Off,debt_consolidation
17600.0,19.89,E,< 1 year,44000.0,Current,credit_card
4200.0,13.44,C,10+ years,102500.0,Fully Paid,debt_consolidation
19000.0,14.85,C,9 years,75000.0,Fully Paid,credit_card
15850.0,23.13,F,10+ years,45000.0,Fully Paid,debt_consolidation
10000.0,11.99,C,10+ years,42500.0,Current,debt_consolidation
30000.0,15.77,D,2 years,175000.0,Fully Paid,home_improvement
1500.0,6.49,A,,45000.0,Fully Paid,vacation
25000.0,5.32,A,1 year,150000.0,Fully Paid,credit_card
16250.0,13.44,C,2 years,50000.0,Current,debt_consolidation
20200.0,18.49,D,4 years,60000.0,Charged Off,debt_consolidation
23975.0,19.89,E,10+ years,70000.0,Charged Off,credit_card
15000.0,10.78,B,10+ years,65000.0,Fully Paid,debt_consolidation
10000.0,10.78,B,3 years,41600.0,Fully Paid,debt_consolidation
15000.0,8.49,B,6 years,110000.0,Fully Paid,credit_card
